date,flight number,belt number,scheduled arrival time,actual arrival time,offloaded bags,expected bags,first bag on belt,last bag on belt
04-11-25,ET34,Belt 3,11:45:00,12:00:00,49,46,12:10:00,12:27:00
04-11-25,ET35,Belt 2,13:10:00,13:06:00,59,49,13:19:00,13:25:00
04-11-25,SA62,Belt 1,12:40:00,12:32:00,173,179,12:45:00,12:55:00
04-11-25,TC212,Belt 3,12:20:00,12:38:00,157,151,12:47:00,13:05:00
04-11-25,UR722,Belt 2,11:45:00,11:45:00,10,16,12:00:00,12:08:00
04-11-25,WB112,Belt 1,15:00:00,15:04:00,180,170,15:15:00,15:25:00
04-11-25,ET873,Belt 1,13:10:00,13:01:00,146,154,13:09:00,13:14:00
04-11-25,4Z166,Belt 2,9:40:00,9:47:00,20,10,9:56:00,10:01:00
04-11-25,4Z162,Belt 3,13:30:00,13:43:00,62,55,13:51:00,14:08:00
04-11-25,QR1455,Belt 3,7:50:00,7:35:00,120,116,7:47:00,7:57:00
04-11-25,QR1456,Belt 2,15:00:00,15:01:00,381,384,15:12:00,15:23:00
04-11-25,TK525,Belt 1,1:20:00,1:23:00,177,175,1:34:00,1:40:00
04-11-25,KQ704,Belt 3,17:20:00,17:37:00,85,91,17:44:00,17:52:00
04-11-25,KQ706,Belt 3,9:10:00,9:12:00,196,187,9:20:00,9:28:00
05-11-25,BP312,Belt 3,8:50:00,8:51:00,140,142,9:00:00,9:07:00
05-11-25,ET34,Belt 3,11:45:00,11:30:00,42,41,11:40:00,11:57:00
05-11-25,ET35,Belt 1,13:10:00,13:18:00,31,41,13:31:00,13:38:00
05-11-25,SA62,Belt 1,12:40:00,12:44:00,85,89,12:57:00,13:14:00
05-11-25,TC212,Belt 3,12:20:00,12:20:00,180,185,12:29:00,12:43:00
05-11-25,UR722,Belt 1,11:45:00,11:39:00,62,67,11:46:00,11:54:00
05-11-25,WB112,Belt 3,15:00:00,14:56:00,163,158,15:11:00,15:16:00
05-11-25,ET873,Belt 2,13:10:00,13:01:00,315,317,13:09:00,13:20:00
05-11-25,4Z166,Belt 3,9:40:00,9:54:00,18,11,10:01:00,10:10:00
05-11-25,4Z162,Belt 3,13:30:00,13:27:00,66,65,13:35:00,13:46:00
05-11-25,QR1455,Belt 2,7:50:00,7:57:00,211,217,8:07:00,8:14:00
05-11-25,QR1456,Belt 3,15:00:00,14:46:00,112,114,14:57:00,15:17:00
05-11-25,TK525,Belt 1,1:20:00,1:07:00,98,97,1:22:00,1:36:00
05-11-25,KQ704,Belt 3,17:20:00,17:29:00,199,196,17:44:00,18:01:00
05-11-25,KQ706,Belt 1,9:10:00,9:18:00,129,134,9:28:00,9:41:00
06-11-25,BP312,Belt 3,8:50:00,8:55:00,104,96,9:06:00,9:16:00
06-11-25,ET34,Belt 1,11:45:00,11:56:00,61,56,12:09:00,12:28:00
06-11-25,ET35,Belt 2,13:10:00,13:07:00,46,48,13:19:00,13:27:00
06-11-25,SA62,Belt 1,12:40:00,12:44:00,171,168,12:54:00,13:10:00
06-11-25,TC212,Belt 2,12:20:00,12:32:00,90,86,12:41:00,12:47:00
06-11-25,UR722,Belt 2,11:45:00,11:43:00,34,26,11:56:00,12:10:00
06-11-25,WB112,Belt 3,15:00:00,15:03:00,162,160,15:10:00,15:18:00
06-11-25,ET873,Belt 3,13:10:00,13:09:00,218,215,13:18:00,13:34:00
06-11-25,4Z166,Belt 3,9:40:00,9:55:00,10,14,10:07:00,10:23:00
06-11-25,4Z162,Belt 1,13:30:00,13:27:00,59,59,13:35:00,13:40:00
06-11-25,QR1455,Belt 2,7:50:00,7:35:00,55,55,7:45:00,8:04:00
06-11-25,QR1456,Belt 1,15:00:00,15:18:00,211,214,15:33:00,15:40:00
06-11-25,TK525,Belt 3,1:20:00,1:34:00,204,195,1:44:00,1:55:00
06-11-25,KQ704,Belt 2,17:20:00,17:33:00,150,141,17:41:00,17:59:00
06-11-25,KQ706,Belt 3,9:10:00,9:23:00,181,181,9:35:00,9:46:00
07-11-25,BP312,Belt 1,8:50:00,9:06:00,87,82,9:20:00,9:26:00
07-11-25,ET34,Belt 3,11:45:00,11:45:00,29,36,11:53:00,12:12:00
07-11-25,ET35,Belt 2,13:10:00,13:03:00,48,48,13:16:00,13:28:00
07-11-25,SA62,Belt 1,12:40:00,12:38:00,-5,75,12:45:00,12:50:00
07-11-25,TC212,Belt 2,12:20:00,12:34:00,136,142,12:47:00,12:53:00
07-11-25,UR722,Belt 2,11:45:00,11:31:00,74,68,11:38:00,11:53:00
07-11-25,WB112,Belt 1,15:00:00,15:09:00,66,74,15:23:00,15:31:00
07-11-25,ET873,Belt 1,13:10:00,13:26:00,202,204,13:38:00,13:54:00
07-11-25,4Z166,Belt 2,9:40:00,9:50:00,22,15,10:02:00,10:22:00
07-11-25,4Z162,Belt 1,13:30:00,13:16:00,15,13,13:27:00,13:46:00
07-11-25,QR1455,Belt 3,7:50:00,7:43:00,371,378,7:55:00,8:03:00
07-11-25,QR1456,Belt 3,15:00:00,15:05:00,155,164,15:12:00,15:21:00
07-11-25,TK525,Belt 3,1:20:00,1:22:00,218,215,1:32:00,1:42:00
07-11-25,KQ704,Belt 2,17:20:00,17:27:00,119,118,17:42:00,17:47:00
07-11-25,KQ706,Belt 3,9:10:00,9:07:00,81,83,9:14:00,9:22:00
08-11-25,BP312,Belt 2,8:50:00,8:42:00,139,147,8:53:00,9:08:00
08-11-25,ET34,Belt 3,11:45:00,11:37:00,51,49,11:48:00,11:58:00
08-11-25,ET35,Belt 1,13:10:00,13:14:00,51,47,13:22:00,13:31:00
08-11-25,SA62,Belt 2,12:40:00,12:40:00,115,107,12:53:00,13:12:00
08-11-25,TC212,Belt 2,12:20:00,12:07:00,107,101,12:22:00,12:34:00
08-11-25,UR722,Belt 2,11:45:00,12:02:00,45,40,12:13:00,12:28:00
08-11-25,WB112,Belt 1,15:00:00,15:12:00,190,193,15:20:00,15:33:00
08-11-25,ET873,Belt 2,13:10:00,13:28:00,93,92,13:43:00,13:55:00
08-11-25,4Z166,Belt 1,9:40:00,9:42:00,47,51,9:50:00,9:57:00
08-11-25,4Z162,Belt 1,13:30:00,13:30:00,9,13,13:37:00,13:48:00
08-11-25,QR1455,Belt 1,7:50:00,7:55:00,243,247,8:09:00,8:17:00
08-11-25,QR1456,Belt 1,15:00:00,15:06:00,164,156,15:21:00,15:36:00
08-11-25,TK525,Belt 3,1:20:00,1:17:00,292,282,1:26:00,1:34:00
08-11-25,KQ704,Belt 2,17:20:00,17:35:00,127,126,17:48:00,18:07:00
08-11-25,KQ706,Belt 1,9:10:00,9:20:00,123,121,9:30:00,9:37:00
09-11-25,BP312,Belt 3,8:50:00,9:05:00,173,178,9:16:00,9:24:00
09-11-25,ET34,Belt 3,11:45:00,11:52:00,32,39,12:00:00,12:12:00
09-11-25,ET35,Belt 3,13:10:00,13:02:00,71,67,13:11:00,13:24:00
09-11-25,SA62,Belt 1,12:40:00,12:36:00,-5,191,12:50:00,13:06:00
09-11-25,TC212,Belt 1,12:20:00,12:38:00,107,100,12:46:00,13:02:00
09-11-25,UR722,Belt 2,11:45:00,11:53:00,17,23,12:06:00,12:24:00
09-11-25,WB112,Belt 1,15:00:00,15:02:00,146,155,15:16:00,15:29:00
09-11-25,ET873,Belt 3,13:10:00,13:26:00,91,100,13:39:00,13:57:00
09-11-25,4Z166,Belt 2,9:40:00,9:55:00,24,28,10:08:00,10:18:00
09-11-25,4Z162,Belt 3,13:30:00,13:45:00,33,27,13:59:00,14:17:00
09-11-25,QR1455,Belt 3,7:50:00,7:38:00,389,398,7:48:00,7:56:00
09-11-25,QR1456,Belt 3,15:00:00,15:00:00,99,108,15:07:00,15:20:00
09-11-25,TK525,Belt 3,1:20:00,1:19:00,90,83,1:27:00,1:40:00
09-11-25,KQ704,Belt 3,17:20:00,17:24:00,175,173,17:37:00,17:45:00
09-11-25,KQ706,Belt 3,9:10:00,9:00:00,143,138,9:10:00,9:20:00
10-11-25,BP312,Belt 2,8:50:00,8:45:00,168,158,8:56:00,9:10:00
10-11-25,ET34,Belt 2,11:45:00,11:48:00,3,10,11:57:00,12:17:00
10-11-25,ET35,Belt 2,13:10:00,13:24:00,-5,29,13:33:00,13:48:00
10-11-25,SA62,Belt 1,12:40:00,12:37:00,82,87,12:46:00,13:01:00
10-11-25,TC212,Belt 1,12:20:00,12:14:00,96,106,12:28:00,12:46:00
10-11-25,UR722,Belt 3,11:45:00,11:49:00,6,11,12:00:00,12:07:00
10-11-25,WB112,Belt 2,15:00:00,15:04:00,81,72,15:16:00,15:36:00
10-11-25,ET873,Belt 3,13:10:00,13:00:00,55,50,13:10:00,13:30:00
10-11-25,4Z166,Belt 2,9:40:00,9:26:00,-5,12,9:37:00,9:49:00
10-11-25,4Z162,Belt 3,13:30:00,13:16:00,37,42,13:25:00,13:33:00
10-11-25,QR1455,Belt 2,7:50:00,8:03:00,-5,205,8:17:00,8:37:00
10-11-25,QR1456,Belt 1,15:00:00,15:16:00,236,229,15:27:00,15:47:00
10-11-25,TK525,Belt 1,1:20:00,1:25:00,240,236,1:32:00,1:48:00
10-11-25,KQ704,Belt 1,17:20:00,17:23:00,161,155,17:37:00,17:45:00
10-11-25,KQ706,Belt 2,9:10:00,9:15:00,69,75,9:28:00,9:40:00
11-11-25,BP312,Belt 3,8:50:00,9:09:00,107,106,9:23:00,9:28:00
11-11-25,ET34,Belt 2,11:45:00,11:53:00,49,46,12:05:00,12:16:00
11-11-25,ET35,Belt 1,13:10:00,13:30:00,11,15,13:43:00,13:51:00
11-11-25,SA62,Belt 2,12:40:00,12:26:00,191,185,12:35:00,12:48:00
11-11-25,TC212,Belt 1,12:20:00,12:40:00,-5,159,12:53:00,13:11:00
11-11-25,UR722,Belt 2,11:45:00,11:37:00,25,29,11:44:00,11:59:00
11-11-25,WB112,Belt 1,15:00:00,15:02:00,104,101,15:16:00,15:32:00
11-11-25,ET873,Belt 1,13:10:00,13:04:00,96,106,13:18:00,13:27:00
11-11-25,4Z166,Belt 2,9:40:00,9:29:00,47,53,9:44:00,9:58:00
11-11-25,4Z162,Belt 1,13:30:00,13:15:00,40,45,13:26:00,13:46:00
11-11-25,QR1455,Belt 3,7:50:00,8:06:00,82,83,8:13:00,8:32:00
11-11-25,QR1456,Belt 1,15:00:00,15:06:00,-5,161,15:14:00,15:20:00
11-11-25,TK525,Belt 2,1:20:00,1:20:00,196,206,1:33:00,1:49:00
11-11-25,KQ704,Belt 1,17:20:00,17:29:00,61,70,17:40:00,17:49:00
11-11-25,KQ706,Belt 3,9:10:00,9:01:00,148,142,9:16:00,9:25:00
12-11-25,BP312,Belt 2,8:50:00,8:44:00,133,139,8:54:00,9:12:00
12-11-25,ET34,Belt 3,11:45:00,11:51:00,60,68,12:02:00,12:14:00
12-11-25,ET35,Belt 1,13:10:00,13:19:00,41,40,13:29:00,13:46:00
12-11-25,SA62,Belt 2,12:40:00,12:29:00,165,172,12:40:00,12:54:00
12-11-25,TC212,Belt 2,12:20:00,12:11:00,144,149,12:24:00,12:39:00
12-11-25,UR722,Belt 1,11:45:00,11:32:00,14,18,11:43:00,11:52:00
12-11-25,WB112,Belt 1,15:00:00,15:12:00,120,121,15:23:00,15:30:00
12-11-25,ET873,Belt 1,13:10:00,13:06:00,350,340,13:20:00,13:30:00
12-11-25,4Z166,Belt 2,9:40:00,9:40:00,63,60,9:48:00,9:57:00
12-11-25,4Z162,Belt 1,13:30:00,13:31:00,38,38,13:46:00,14:02:00
12-11-25,QR1455,Belt 1,7:50:00,7:53:00,234,231,8:07:00,8:25:00
12-11-25,QR1456,Belt 1,15:00:00,15:04:00,-5,286,15:19:00,15:24:00
12-11-25,TK525,Belt 2,1:20:00,1:29:00,89,95,1:40:00,1:52:00
12-11-25,KQ704,Belt 3,17:20:00,17:23:00,159,165,17:38:00,17:52:00
12-11-25,KQ706,Belt 1,9:10:00,8:58:00,164,170,9:11:00,9:16:00
13-11-25,BP312,Belt 1,8:50:00,8:49:00,178,187,8:57:00,9:03:00
13-11-25,ET34,Belt 2,11:45:00,11:38:00,73,63,11:46:00,12:01:00
13-11-25,ET35,Belt 3,13:10:00,13:18:00,15,16,13:32:00,13:47:00
13-11-25,SA62,Belt 2,12:40:00,12:36:00,109,101,12:51:00,12:57:00
13-11-25,TC212,Belt 3,12:20:00,12:37:00,128,122,12:46:00,13:06:00
13-11-25,UR722,Belt 2,11:45:00,11:51:00,34,24,12:00:00,12:14:00
13-11-25,WB112,Belt 3,15:00:00,15:10:00,139,149,15:24:00,15:35:00
13-11-25,ET873,Belt 2,13:10:00,13:29:00,74,84,13:38:00,13:46:00
13-11-25,4Z166,Belt 1,9:40:00,9:41:00,13,16,9:51:00,9:59:00
13-11-25,4Z162,Belt 3,13:30:00,13:45:00,17,11,13:59:00,14:16:00
13-11-25,QR1455,Belt 3,7:50:00,7:39:00,111,112,7:52:00,8:12:00
13-11-25,QR1456,Belt 2,15:00:00,14:53:00,177,170,15:04:00,15:23:00
13-11-25,TK525,Belt 2,1:20:00,1:11:00,358,365,1:24:00,1:33:00
13-11-25,KQ704,Belt 3,17:20:00,17:14:00,70,75,17:23:00,17:35:00
13-11-25,KQ706,Belt 1,9:10:00,8:57:00,207,200,9:07:00,9:27:00
14-11-25,BP312,Belt 1,8:50:00,8:58:00,143,144,9:06:00,9:26:00
14-11-25,ET34,Belt 2,11:45:00,11:33:00,50,52,11:46:00,12:03:00
14-11-25,ET35,Belt 1,13:10:00,13:00:00,54,61,13:14:00,13:32:00
14-11-25,SA62,Belt 3,12:40:00,12:33:00,97,107,12:44:00,13:03:00
14-11-25,TC212,Belt 2,12:20:00,12:18:00,159,169,12:29:00,12:35:00
14-11-25,UR722,Belt 1,11:45:00,11:47:00,60,51,12:01:00,12:07:00
14-11-25,WB112,Belt 3,15:00:00,14:52:00,109,105,15:06:00,15:19:00
14-11-25,ET873,Belt 1,13:10:00,13:15:00,132,131,13:30:00,13:41:00
14-11-25,4Z166,Belt 3,9:40:00,9:51:00,73,67,10:04:00,10:11:00
14-11-25,4Z162,Belt 1,13:30:00,13:38:00,45,51,13:50:00,14:05:00
14-11-25,QR1455,Belt 3,7:50:00,7:37:00,119,121,7:48:00,8:05:00
14-11-25,QR1456,Belt 2,15:00:00,14:48:00,385,380,15:01:00,15:21:00
14-11-25,TK525,Belt 3,1:20:00,1:36:00,382,387,1:51:00,2:04:00
14-11-25,KQ704,Belt 3,17:20:00,17:09:00,160,152,17:21:00,17:38:00
14-11-25,KQ706,Belt 3,9:10:00,9:19:00,71,81,9:28:00,9:40:00
15-11-25,BP312,Belt 3,8:50:00,9:02:00,102,97,9:16:00,9:31:00
15-11-25,ET34,Belt 2,11:45:00,11:43:00,56,59,11:51:00,12:01:00
15-11-25,ET35,Belt 3,13:10:00,13:24:00,69,67,13:37:00,13:44:00
15-11-25,SA62,Belt 1,12:40:00,12:45:00,127,134,12:52:00,12:59:00
15-11-25,TC212,Belt 1,12:20:00,12:09:00,174,165,12:16:00,12:26:00
15-11-25,UR722,Belt 2,11:45:00,11:53:00,-5,16,12:06:00,12:15:00
15-11-25,WB112,Belt 1,15:00:00,15:06:00,117,121,15:17:00,15:37:00
15-11-25,ET873,Belt 2,13:10:00,12:58:00,396,397,13:08:00,13:19:00
15-11-25,4Z166,Belt 3,9:40:00,9:57:00,23,20,10:12:00,10:23:00
15-11-25,4Z162,Belt 3,13:30:00,13:21:00,37,47,13:29:00,13:40:00
15-11-25,QR1455,Belt 2,7:50:00,7:49:00,111,121,8:01:00,8:19:00
15-11-25,QR1456,Belt 2,15:00:00,15:02:00,321,329,15:14:00,15:24:00
15-11-25,TK525,Belt 3,1:20:00,1:27:00,384,378,1:41:00,1:52:00
15-11-25,KQ704,Belt 2,17:20:00,17:09:00,197,191,17:21:00,17:37:00
15-11-25,KQ706,Belt 2,9:10:00,9:21:00,97,105,9:35:00,9:53:00
16-11-25,BP312,Belt 2,8:50:00,8:55:00,158,166,9:03:00,9:12:00
16-11-25,ET34,Belt 3,11:45:00,11:33:00,22,29,11:41:00,12:01:00
16-11-25,ET35,Belt 3,13:10:00,13:26:00,22,13,13:41:00,13:56:00
16-11-25,SA62,Belt 2,12:40:00,12:32:00,126,127,12:43:00,13:00:00
16-11-25,TC212,Belt 3,12:20:00,12:36:00,153,161,12:45:00,12:59:00
16-11-25,UR722,Belt 1,11:45:00,11:33:00,52,44,11:43:00,11:57:00
16-11-25,WB112,Belt 1,15:00:00,15:01:00,91,84,15:09:00,15:29:00
16-11-25,ET873,Belt 1,13:10:00,13:22:00,374,384,13:29:00,13:44:00
16-11-25,4Z166,Belt 3,9:40:00,9:39:00,22,26,9:51:00,9:57:00
16-11-25,4Z162,Belt 3,13:30:00,13:42:00,30,23,13:54:00,14:00:00
16-11-25,QR1455,Belt 3,7:50:00,8:02:00,294,302,8:09:00,8:25:00
16-11-25,QR1456,Belt 3,15:00:00,14:46:00,272,263,14:54:00,15:14:00
16-11-25,TK525,Belt 1,1:20:00,1:28:00,179,188,1:36:00,1:42:00
16-11-25,KQ704,Belt 1,17:20:00,17:38:00,196,199,17:50:00,18:08:00
16-11-25,KQ706,Belt 3,9:10:00,9:05:00,144,147,9:12:00,9:18:00
17-11-25,BP312,Belt 2,8:50:00,8:57:00,127,120,9:10:00,9:15:00
17-11-25,ET34,Belt 2,11:45:00,11:46:00,31,40,11:59:00,12:16:00
17-11-25,ET35,Belt 3,13:10:00,12:59:00,21,18,13:12:00,13:21:00
17-11-25,SA62,Belt 3,12:40:00,12:53:00,175,182,13:05:00,13:21:00
17-11-25,TC212,Belt 3,12:20:00,12:35:00,160,157,12:42:00,12:54:00
17-11-25,UR722,Belt 1,11:45:00,11:52:00,23,15,11:59:00,12:11:00
17-11-25,WB112,Belt 3,15:00:00,14:47:00,-5,81,14:57:00,15:03:00
17-11-25,ET873,Belt 1,13:10:00,13:27:00,73,79,13:41:00,13:51:00
17-11-25,4Z166,Belt 1,9:40:00,9:53:00,12,12,10:05:00,10:17:00
17-11-25,4Z162,Belt 2,13:30:00,13:24:00,27,18,13:37:00,13:57:00
17-11-25,QR1455,Belt 2,7:50:00,8:07:00,104,112,8:15:00,8:28:00
17-11-25,QR1456,Belt 1,15:00:00,15:18:00,160,155,15:30:00,15:42:00
17-11-25,TK525,Belt 2,1:20:00,1:29:00,205,204,1:44:00,1:58:00
17-11-25,KQ704,Belt 2,17:20:00,17:09:00,138,132,17:20:00,17:35:00
17-11-25,KQ706,Belt 1,9:10:00,9:11:00,191,198,9:18:00,9:34:00
18-11-25,BP312,Belt 3,8:50:00,8:44:00,192,194,8:52:00,9:03:00
18-11-25,ET34,Belt 2,11:45:00,11:38:00,69,63,11:48:00,12:02:00
18-11-25,ET35,Belt 2,13:10:00,13:16:00,41,45,13:24:00,13:40:00
18-11-25,SA62,Belt 2,12:40:00,12:57:00,97,106,13:07:00,13:26:00
18-11-25,TC212,Belt 3,12:20:00,12:18:00,179,186,12:25:00,12:45:00
18-11-25,UR722,Belt 3,11:45:00,11:39:00,25,27,11:52:00,12:06:00
18-11-25,WB112,Belt 3,15:00:00,15:18:00,83,85,15:31:00,15:51:00
18-11-25,ET873,Belt 3,13:10:00,13:04:00,247,245,13:18:00,13:24:00
18-11-25,4Z166,Belt 2,9:40:00,9:27:00,25,23,9:36:00,9:54:00
18-11-25,4Z162,Belt 3,13:30:00,13:33:00,12,13,13:40:00,13:56:00
18-11-25,QR1455,Belt 3,7:50:00,8:05:00,361,361,8:16:00,8:27:00
18-11-25,QR1456,Belt 2,15:00:00,15:14:00,233,224,15:27:00,15:45:00
18-11-25,TK525,Belt 2,1:20:00,1:15:00,72,79,1:30:00,1:47:00
18-11-25,KQ704,Belt 2,17:20:00,17:28:00,150,143,17:42:00,18:00:00
18-11-25,KQ706,Belt 2,9:10:00,9:05:00,131,136,9:18:00,9:37:00
19-11-25,BP312,Belt 2,8:50:00,8:40:00,124,130,8:47:00,9:00:00
19-11-25,ET34,Belt 2,11:45:00,11:33:00,68,70,11:41:00,11:53:00
19-11-25,ET35,Belt 2,13:10:00,13:18:00,28,28,13:31:00,13:37:00
19-11-25,SA62,Belt 2,12:40:00,12:46:00,141,140,12:57:00,13:10:00
19-11-25,TC212,Belt 1,12:20:00,12:13:00,66,73,12:24:00,12:39:00
19-11-25,UR722,Belt 3,11:45:00,11:31:00,59,64,11:45:00,12:04:00
19-11-25,WB112,Belt 1,15:00:00,15:18:00,172,182,15:32:00,15:38:00
19-11-25,ET873,Belt 1,13:10:00,12:58:00,305,295,13:13:00,13:24:00
19-11-25,4Z166,Belt 2,9:40:00,9:29:00,21,13,9:37:00,9:50:00
19-11-25,4Z162,Belt 3,13:30:00,13:47:00,45,45,13:55:00,14:14:00
19-11-25,QR1455,Belt 3,7:50:00,7:57:00,180,182,8:08:00,8:28:00
19-11-25,QR1456,Belt 2,15:00:00,14:50:00,176,166,14:59:00,15:08:00
19-11-25,TK525,Belt 2,1:20:00,1:37:00,376,385,1:47:00,1:55:00
19-11-25,KQ704,Belt 2,17:20:00,17:28:00,74,79,17:43:00,18:02:00
19-11-25,KQ706,Belt 3,9:10:00,9:01:00,142,151,9:16:00,9:28:00
20-11-25,BP312,Belt 2,8:50:00,8:56:00,134,136,9:03:00,9:19:00
20-11-25,ET34,Belt 3,11:45:00,11:38:00,46,55,11:48:00,12:04:00
20-11-25,ET35,Belt 2,13:10:00,12:57:00,-5,14,13:11:00,13:19:00
20-11-25,SA62,Belt 2,12:40:00,12:50:00,86,89,13:00:00,13:15:00
20-11-25,TC212,Belt 1,12:20:00,12:17:00,168,165,12:25:00,12:43:00
20-11-25,UR722,Belt 1,11:45:00,11:47:00,9,19,11:59:00,12:15:00
20-11-25,WB112,Belt 1,15:00:00,15:09:00,184,174,15:21:00,15:41:00
20-11-25,ET873,Belt 3,13:10:00,13:12:00,358,368,13:21:00,13:37:00
20-11-25,4Z166,Belt 2,9:40:00,9:36:00,22,28,9:43:00,9:51:00
20-11-25,4Z162,Belt 3,13:30:00,13:35:00,23,23,13:50:00,14:06:00
20-11-25,QR1455,Belt 1,7:50:00,7:45:00,251,243,7:52:00,8:01:00
20-11-25,QR1456,Belt 2,15:00:00,15:12:00,374,382,15:20:00,15:32:00
20-11-25,TK525,Belt 2,1:20:00,1:30:00,315,307,1:45:00,2:03:00
20-11-25,KQ704,Belt 2,17:20:00,17:07:00,107,101,17:14:00,17:34:00
20-11-25,KQ706,Belt 2,9:10:00,9:19:00,182,182,9:30:00,9:41:00
21-11-25,BP312,Belt 1,8:50:00,8:58:00,142,145,9:10:00,9:22:00
21-11-25,ET34,Belt 2,11:45:00,11:53:00,28,24,12:05:00,12:13:00
21-11-25,ET35,Belt 3,13:10:00,13:02:00,29,25,13:15:00,13:31:00
21-11-25,SA62,Belt 1,12:40:00,13:00:00,167,160,13:15:00,13:22:00
21-11-25,TC212,Belt 1,12:20:00,12:23:00,202,193,12:33:00,12:52:00
21-11-25,UR722,Belt 1,11:45:00,11:58:00,32,24,12:07:00,12:19:00
21-11-25,WB112,Belt 1,15:00:00,15:07:00,114,105,15:18:00,15:32:00
21-11-25,ET873,Belt 1,13:10:00,13:06:00,203,210,13:14:00,13:32:00
21-11-25,4Z166,Belt 3,9:40:00,9:40:00,36,42,9:54:00,10:05:00
21-11-25,4Z162,Belt 3,13:30:00,13:38:00,70,66,13:45:00,13:55:00
21-11-25,QR1455,Belt 2,7:50:00,7:54:00,262,264,8:09:00,8:29:00
21-11-25,QR1456,Belt 3,15:00:00,14:49:00,95,101,14:56:00,15:14:00
