date,shift,airline,flight number,aircraft type,route,loading supervisor id,scheduled arrival time,scheduled departure time,actual arrival time,actual departure time,conveyor belt on,conveyor belt off,h-loader on,h-loader off,cargo doors open,cargo doors closed,first trolley out,last trolley out,baggage at aircraft
02-11-25,Shift A,Airlink,4Z162,E195,JNB-JNB via LUN,3,13:30:00,14:15:00,13:47:00,14:17:00,13:51:00,14:05:00,,,13:50:00,14:07:00,13:52:00,13:59:00,158
02-11-25,Shift A,Qatar Airways,QR1455,B787,DOH-HRE via LUN,4,7:50:00,9:40:00,8:08:00,9:30:00,8:13:00,9:16:00,8:14:00,9:15:00,8:12:00,9:18:00,8:14:00,8:18:00,48
02-11-25,Shift A,Qatar Airways,QR1456,B787,HRE-DOH via LUN,5,15:00:00,16:30:00,15:08:00,16:39:00,15:12:00,16:32:00,15:13:00,16:31:00,15:11:00,16:34:00,15:13:00,15:21:00,165
02-11-25,Shift A,Turkish Airlines,TK525,B737 Max,IST-IST via LUN,6,1:20:00,2:20:00,1:10:00,2:15:00,1:16:00,2:07:00,,,1:15:00,2:09:00,1:17:00,1:28:00,52
02-11-25,Shift A,Kenya Airways,KQ704,E195,NBO-HRE via LUN,7,17:20:00,18:10:00,17:35:00,18:35:00,17:39:00,18:24:00,,,17:38:00,18:26:00,17:40:00,17:53:00,175
02-11-25,Shift A,Kenya Airways,KQ706,B737,NBO-HRE via LUN,1,9:10:00,10:00:00,9:08:00,10:24:00,9:12:00,10:13:00,,,9:11:00,10:15:00,9:13:00,9:24:00,191
03-11-25,Shift A,Air Botswana,BP312,E175,GBE-HRE via LUN,1,8:50:00,9:40:00,8:58:00,9:58:00,9:04:00,9:50:00,,,9:03:00,9:52:00,9:05:00,9:11:00,77
03-11-25,Shift A,Malawian Airlines,ET34,DH8,LLW-HRE via LUN,2,11:45:00,12:20:00,11:34:00,12:31:00,11:37:00,12:15:00,,,11:36:00,12:17:00,11:38:00,11:52:00,78
03-11-25,Shift A,Malawian Airlines,ET35,DH8,HRE-LLW via LUN,3,13:10:00,13:45:00,13:09:00,13:35:00,13:12:00,13:18:00,,,13:11:00,13:20:00,13:13:00,13:19:00,78
03-11-25,Shift A,South African Airways,SA62,A320,JNB-JNB via LUN,4,12:40:00,13:30:00,12:29:00,13:22:00,12:34:00,13:14:00,,,12:33:00,13:16:00,12:35:00,12:47:00,80
03-11-25,Shift A,Air Tanzania,TC212,A220,DAR-HRE via LUN,5,12:20:00,13:10:00,12:22:00,13:31:00,12:26:00,13:16:00,,,12:25:00,13:18:00,12:27:00,12:34:00,166
03-11-25,Shift A,Uganda Airlines,UR722,CRJ900,EBB-HRE via LUN,6,11:45:00,12:30:00,12:00:00,12:35:00,12:06:00,12:22:00,,,12:05:00,12:24:00,12:07:00,12:13:00,44
03-11-25,Shift A,RwandAir,WB112,B737,KGL-HRE via LUN,7,15:00:00,15:50:00,14:51:00,16:07:00,14:56:00,15:54:00,,,14:55:00,15:56:00,14:57:00,15:07:00,139
03-11-25,Shift A,Ethiopian Airways,ET873,B787,ADD-ADD via LUN,1,13:10:00,15:10:00,12:58:00,15:06:00,13:01:00,14:53:00,13:02:00,14:52:00,13:00:00,14:55:00,13:02:00,13:13:00,47
03-11-25,Shift A,Airlink,4Z166,E135,JNB-JNB via LUN,2,9:40:00,10:15:00,9:40:00,10:17:00,9:44:00,10:02:00,,,9:43:00,10:04:00,9:45:00,9:57:00,55
03-11-25,Shift A,Airlink,4Z162,E195,JNB-JNB via LUN,3,13:30:00,14:15:00,13:42:00,14:16:00,13:47:00,14:02:00,,,13:46:00,14:04:00,13:48:00,13:55:00,39
03-11-25,Shift A,Qatar Airways,QR1455,B787,DOH-HRE via LUN,4,7:50:00,9:40:00,8:03:00,10:05:00,8:06:00,9:58:00,8:07:00,9:57:00,8:05:00,10:00:00,8:07:00,8:23:00,158
03-11-25,Shift A,Qatar Airways,QR1456,B787,HRE-DOH via LUN,5,15:00:00,16:30:00,14:45:00,16:25:00,14:49:00,16:16:00,14:50:00,16:15:00,14:48:00,16:18:00,14:50:00,15:01:00,144
03-11-25,Shift A,Turkish Airlines,TK525,B737 Max,IST-IST via LUN,6,1:20:00,2:20:00,1:35:00,2:23:00,1:41:00,2:16:00,,,1:40:00,2:18:00,1:42:00,1:47:00,117
03-11-25,Shift A,Kenya Airways,KQ704,E195,NBO-HRE via LUN,7,17:20:00,18:10:00,17:29:00,18:16:00,17:35:00,18:05:00,,,17:34:00,18:07:00,17:36:00,17:45:00,198
03-11-25,Shift A,Kenya Airways,KQ706,B737,NBO-HRE via LUN,1,9:10:00,10:00:00,9:04:00,10:02:00,9:09:00,9:52:00,,,9:08:00,9:54:00,9:10:00,9:14:00,168
04-11-25,Shift A,Air Botswana,BP312,E175,GBE-HRE via LUN,1,8:50:00,9:40:00,9:09:00,9:33:00,9:14:00,9:26:00,,,9:13:00,9:28:00,9:15:00,9:19:00,169
04-11-25,Shift A,Malawian Airlines,ET34,DH8,LLW-HRE via LUN,2,11:45:00,12:20:00,12:00:00,12:42:00,12:04:00,12:35:00,,,12:03:00,12:37:00,12:05:00,12:18:00,40
04-11-25,Shift A,Malawian Airlines,ET35,DH8,HRE-LLW via LUN,3,13:10:00,13:45:00,13:06:00,13:06:00,13:09:00,13:22:00,,,13:08:00,13:24:00,13:10:00,13:19:00,123
04-11-25,Shift A,South African Airways,SA62,A320,JNB-JNB via LUN,4,12:40:00,13:30:00,12:32:00,12:32:00,12:35:00,13:19:00,,,12:34:00,13:21:00,12:36:00,12:43:00,127
04-11-25,Shift A,Air Tanzania,TC212,A220,DAR-HRE via LUN,5,12:20:00,13:10:00,12:38:00,13:20:00,12:43:00,13:10:00,,,12:42:00,13:12:00,12:44:00,12:58:00,100
04-11-25,Shift A,Uganda Airlines,UR722,CRJ900,EBB-HRE via LUN,6,11:45:00,12:30:00,11:45:00,12:36:00,11:51:00,12:27:00,,,11:50:00,12:29:00,11:52:00,12:05:00,185
04-11-25,Shift A,RwandAir,WB112,B737,KGL-HRE via LUN,7,15:00:00,15:50:00,15:04:00,16:09:00,15:09:00,16:01:00,,,15:08:00,16:03:00,15:10:00,15:14:00,137
04-11-25,Shift A,Ethiopian Airways,ET873,B787,ADD-ADD via LUN,1,13:10:00,15:10:00,13:01:00,15:04:00,13:05:00,14:49:00,13:06:00,14:48:00,13:04:00,14:51:00,13:06:00,13:15:00,53
04-11-25,Shift A,Airlink,4Z166,E135,JNB-JNB via LUN,2,9:40:00,10:15:00,9:47:00,10:09:00,9:51:00,9:57:00,,,9:50:00,9:59:00,9:52:00,10:01:00,60
04-11-25,Shift A,Airlink,4Z162,E195,JNB-JNB via LUN,3,13:30:00,14:15:00,13:43:00,14:39:00,13:48:00,14:23:00,,,13:47:00,14:25:00,13:49:00,14:03:00,155
04-11-25,Shift A,Qatar Airways,QR1455,B787,DOH-HRE via LUN,4,7:50:00,9:40:00,7:35:00,10:05:00,7:40:00,9:48:00,7:41:00,9:47:00,7:39:00,9:50:00,7:41:00,7:46:00,54
04-11-25,Shift A,Qatar Airways,QR1456,B787,HRE-DOH via LUN,5,15:00:00,16:30:00,15:01:00,16:27:00,15:04:00,16:12:00,15:05:00,16:11:00,15:03:00,16:14:00,15:05:00,15:13:00,89
04-11-25,Shift A,Turkish Airlines,TK525,B737 Max,IST-IST via LUN,6,1:20:00,2:20:00,1:23:00,2:23:00,1:28:00,2:13:00,,,1:27:00,2:15:00,1:29:00,1:43:00,182
04-11-25,Shift A,Kenya Airways,KQ704,B737,NBO-HRE via LUN,7,17:20:00,18:10:00,17:37:00,18:31:00,17:42:00,18:24:00,,,17:41:00,18:26:00,17:43:00,17:48:00,182
04-11-25,Shift A,Kenya Airways,KQ706,B737,NBO-HRE via LUN,1,9:10:00,10:00:00,9:12:00,9:52:00,9:15:00,9:40:00,,,9:14:00,9:42:00,9:16:00,9:24:00,183
05-11-25,Shift B,Air Botswana,BP312,E175,GBE-HRE via LUN,8,8:50:00,9:40:00,8:51:00,9:40:00,8:57:00,9:25:00,,,8:56:00,9:27:00,8:58:00,9:07:00,163
05-11-25,Shift B,Malawian Airlines,ET34,DH8,LLW-HRE via LUN,9,11:45:00,12:20:00,11:30:00,12:17:00,11:33:00,12:08:00,,,11:32:00,12:10:00,11:34:00,11:48:00,29
05-11-25,Shift B,Malawian Airlines,ET35,DH8,HRE-LLW via LUN,10,13:10:00,13:45:00,13:18:00,14:10:00,13:22:00,13:57:00,,,13:21:00,13:59:00,13:23:00,13:30:00,30
05-11-25,Shift B,South African Airways,SA62,A320,JNB-JNB via LUN,12,12:40:00,13:30:00,12:44:00,13:43:00,12:47:00,13:31:00,,,12:46:00,13:33:00,12:48:00,12:57:00,194
05-11-25,Shift B,Air Tanzania,TC212,A220,DAR-HRE via LUN,13,12:20:00,13:10:00,12:20:00,13:06:00,12:25:00,12:51:00,,,12:24:00,12:53:00,12:26:00,12:36:00,178
05-11-25,Shift B,Uganda Airlines,UR722,CRJ900,EBB-HRE via LUN,14,11:45:00,12:30:00,11:39:00,12:35:00,11:43:00,12:26:00,,,11:42:00,12:28:00,11:44:00,11:55:00,26
05-11-25,Shift B,RwandAir,WB112,B737,KGL-HRE via LUN,8,15:00:00,15:50:00,14:56:00,16:01:00,15:02:00,15:44:00,,,15:01:00,15:46:00,15:03:00,15:09:00,88
05-11-25,Shift B,Ethiopian Airways,ET873,A350,ADD-ADD via LUN,9,13:10:00,15:10:00,13:01:00,15:24:00,13:04:00,15:10:00,13:05:00,15:09:00,13:03:00,15:12:00,13:05:00,13:14:00,71
05-11-25,Shift B,Airlink,4Z166,E135,JNB-JNB via LUN,10,9:40:00,10:15:00,9:54:00,10:27:00,9:59:00,10:17:00,,,9:58:00,10:19:00,10:00:00,10:07:00,26
05-11-25,Shift B,Airlink,4Z162,E195,JNB-JNB via LUN,12,13:30:00,14:15:00,13:27:00,14:30:00,13:32:00,14:19:00,,,13:31:00,14:21:00,13:33:00,13:38:00,91
05-11-25,Shift B,Qatar Airways,QR1455,B787,DOH-HRE via LUN,13,7:50:00,9:40:00,7:57:00,10:02:00,8:03:00,9:45:00,8:04:00,9:44:00,8:02:00,9:47:00,8:04:00,8:15:00,104
05-11-25,Shift B,Qatar Airways,QR1456,B787,HRE-DOH via LUN,14,15:00:00,16:30:00,14:46:00,16:27:00,14:51:00,16:18:00,14:52:00,16:17:00,14:50:00,16:20:00,14:52:00,15:05:00,87
05-11-25,Shift B,Turkish Airlines,TK525,B737 Max,IST-IST via LUN,8,1:20:00,2:20:00,1:07:00,2:16:00,1:13:00,2:04:00,,,1:12:00,2:06:00,1:14:00,1:22:00,131
05-11-25,Shift B,Kenya Airways,KQ704,E195,NBO-HRE via LUN,9,17:20:00,18:10:00,17:29:00,18:12:00,17:34:00,18:05:00,,,17:33:00,18:07:00,17:35:00,17:45:00,20
05-11-25,Shift B,Kenya Airways,KQ706,E195,NBO-HRE via LUN,10,9:10:00,10:00:00,9:18:00,10:17:00,9:21:00,10:00:00,,,9:20:00,10:02:00,9:22:00,9:33:00,179
06-11-25,Shift B,Air Botswana,BP312,E175,GBE-HRE via LUN,8,8:50:00,9:40:00,8:55:00,9:37:00,9:00:00,9:22:00,,,8:59:00,9:24:00,9:01:00,9:09:00,190
06-11-25,Shift B,Malawian Airlines,ET34,DH8,LLW-HRE via LUN,9,11:45:00,12:20:00,11:56:00,12:30:00,12:02:00,12:19:00,,,12:01:00,12:21:00,12:03:00,12:14:00,52
06-11-25,Shift B,Malawian Airlines,ET35,DH8,HRE-LLW via LUN,10,13:10:00,13:45:00,13:07:00,14:01:00,13:13:00,13:44:00,,,13:12:00,13:46:00,13:14:00,13:19:00,177
06-11-25,Shift B,South African Airways,SA62,A320,JNB-JNB via LUN,12,12:40:00,13:30:00,12:44:00,13:45:00,12:47:00,13:34:00,,,12:46:00,13:36:00,12:48:00,12:58:00,73
06-11-25,Shift B,Air Tanzania,TC212,A220,DAR-HRE via LUN,13,12:20:00,13:10:00,12:32:00,13:20:00,12:38:00,13:06:00,,,12:37:00,13:08:00,12:39:00,12:49:00,192
06-11-25,Shift B,Uganda Airlines,UR722,CRJ900,EBB-HRE via LUN,14,11:45:00,12:30:00,11:43:00,12:52:00,11:49:00,12:43:00,,,11:48:00,12:45:00,11:50:00,12:03:00,41
06-11-25,Shift B,RwandAir,WB112,B737,KGL-HRE via LUN,8,15:00:00,15:50:00,15:03:00,16:12:00,15:08:00,16:04:00,,,15:07:00,16:06:00,15:09:00,15:16:00,192
06-11-25,Shift B,Ethiopian Airways,ET873,B777,ADD-ADD via LUN,9,13:10:00,15:10:00,13:09:00,15:12:00,13:13:00,15:05:00,13:14:00,15:04:00,13:12:00,15:07:00,13:14:00,13:19:00,82
06-11-25,Shift B,Airlink,4Z166,E135,JNB-JNB via LUN,10,9:40:00,10:15:00,9:55:00,10:09:00,10:01:00,9:56:00,,,10:00:00,9:58:00,10:02:00,10:15:00,167
06-11-25,Shift B,Airlink,4Z162,E195,JNB-JNB via LUN,12,13:30:00,14:15:00,13:27:00,14:29:00,13:33:00,14:16:00,,,13:32:00,14:18:00,13:34:00,13:40:00,57
06-11-25,Shift B,Qatar Airways,QR1455,B787,DOH-HRE via LUN,13,7:50:00,9:40:00,7:35:00,9:36:00,7:41:00,9:26:00,7:42:00,9:25:00,7:40:00,9:28:00,7:42:00,7:47:00,198
06-11-25,Shift B,Qatar Airways,QR1456,B787,HRE-DOH via LUN,14,15:00:00,16:30:00,15:18:00,16:49:00,15:21:00,16:34:00,15:22:00,16:33:00,15:20:00,16:36:00,15:22:00,15:31:00,51
06-11-25,Shift B,Turkish Airlines,TK525,B737 Max,IST-IST via LUN,8,1:20:00,2:20:00,1:34:00,2:18:00,1:40:00,2:01:00,,,1:39:00,2:03:00,1:41:00,1:52:00,163
06-11-25,Shift B,Kenya Airways,KQ704,B737,NBO-HRE via LUN,9,17:20:00,18:10:00,17:33:00,18:32:00,17:39:00,18:17:00,,,17:38:00,18:19:00,17:40:00,17:50:00,60
06-11-25,Shift B,Kenya Airways,KQ706,B737,NBO-HRE via LUN,10,9:10:00,10:00:00,9:23:00,10:06:00,9:27:00,9:49:00,,,9:26:00,9:51:00,9:28:00,9:37:00,153
07-11-25,Shift B,Air Botswana,BP312,E175,GBE-HRE via LUN,8,8:50:00,9:40:00,9:06:00,9:45:00,9:11:00,9:31:00,,,9:10:00,9:33:00,9:12:00,9:17:00,93
07-11-25,Shift B,Malawian Airlines,ET34,DH8,LLW-HRE via LUN,9,11:45:00,12:20:00,11:45:00,12:27:00,11:50:00,12:15:00,,,11:49:00,12:17:00,11:51:00,12:03:00,40
07-11-25,Shift B,Malawian Airlines,ET35,DH8,HRE-LLW via LUN,10,13:10:00,13:45:00,13:03:00,13:44:00,13:07:00,13:31:00,,,13:06:00,13:33:00,13:08:00,13:15:00,200
07-11-25,Shift B,South African Airways,SA62,A320,JNB-JNB via LUN,12,12:40:00,13:30:00,12:38:00,13:24:00,12:44:00,13:11:00,,,12:43:00,13:13:00,12:45:00,12:53:00,158
07-11-25,Shift B,Air Tanzania,TC212,A220,DAR-HRE via LUN,13,12:20:00,13:10:00,12:34:00,13:26:00,12:37:00,13:16:00,,,12:36:00,13:18:00,12:38:00,12:50:00,119
07-11-25,Shift B,Uganda Airlines,UR722,CRJ900,EBB-HRE via LUN,14,11:45:00,12:30:00,11:31:00,12:44:00,11:37:00,12:37:00,,,11:36:00,12:39:00,11:38:00,11:46:00,96
07-11-25,Shift B,RwandAir,WB112,B737,KGL-HRE via LUN,8,15:00:00,15:50:00,15:09:00,16:06:00,15:13:00,15:52:00,,,15:12:00,15:54:00,15:14:00,15:22:00,89
07-11-25,Shift B,Ethiopian Airways,ET873,B777,ADD-ADD via LUN,9,13:10:00,15:10:00,13:26:00,15:01:00,13:32:00,14:49:00,13:33:00,14:48:00,13:31:00,14:51:00,13:33:00,13:46:00,193
07-11-25,Shift B,Airlink,4Z166,E135,JNB-JNB via LUN,10,9:40:00,10:15:00,9:50:00,10:15:00,9:56:00,10:06:00,,,9:55:00,10:08:00,9:57:00,10:09:00,156
07-11-25,Shift B,Airlink,4Z162,E195,JNB-JNB via LUN,12,13:30:00,14:15:00,13:16:00,14:30:00,13:19:00,14:22:00,,,13:18:00,14:24:00,13:20:00,13:36:00,129
07-11-25,Shift B,Qatar Airways,QR1455,B787,DOH-HRE via LUN,13,7:50:00,9:40:00,7:43:00,9:59:00,7:47:00,9:52:00,7:48:00,9:51:00,7:46:00,9:54:00,7:48:00,7:57:00,117
07-11-25,Shift B,Qatar Airways,QR1456,B787,HRE-DOH via LUN,14,15:00:00,16:30:00,15:05:00,16:33:00,15:11:00,16:21:00,15:12:00,16:20:00,15:10:00,16:23:00,15:12:00,15:20:00,117
07-11-25,Shift B,Turkish Airlines,TK525,B737 Max,IST-IST via LUN,8,1:20:00,2:20:00,1:22:00,1:22:00,1:27:00,2:28:00,,,1:26:00,2:30:00,1:28:00,1:39:00,24
07-11-25,Shift B,Kenya Airways,KQ704,E195,NBO-HRE via LUN,9,17:20:00,18:10:00,17:27:00,18:14:00,17:30:00,17:57:00,,,17:29:00,17:59:00,17:31:00,17:37:00,27
07-11-25,Shift B,Kenya Airways,KQ706,E195,NBO-HRE via LUN,10,9:10:00,10:00:00,9:07:00,9:51:00,9:11:00,9:41:00,,,9:10:00,9:43:00,9:12:00,9:19:00,141
08-11-25,Shift B,Air Botswana,BP312,E175,GBE-HRE via LUN,8,8:50:00,9:40:00,8:42:00,9:43:00,8:48:00,9:32:00,,,8:47:00,9:34:00,8:49:00,8:57:00,62
08-11-25,Shift B,Malawian Airlines,ET34,DH8,LLW-HRE via LUN,9,11:45:00,12:20:00,11:37:00,12:20:00,11:42:00,12:12:00,,,11:41:00,12:14:00,11:43:00,11:56:00,26
08-11-25,Shift B,Malawian Airlines,ET35,DH8,HRE-LLW via LUN,10,13:10:00,13:45:00,13:14:00,13:59:00,13:20:00,13:49:00,,,13:19:00,13:51:00,13:21:00,13:25:00,171
08-11-25,Shift B,South African Airways,SA62,A320,JNB-JNB via LUN,12,12:40:00,13:30:00,12:40:00,13:26:00,12:45:00,13:09:00,,,12:44:00,13:11:00,12:46:00,12:59:00,50
08-11-25,Shift B,Air Tanzania,TC212,A220,DAR-HRE via LUN,13,12:20:00,13:10:00,12:07:00,13:22:00,12:13:00,13:05:00,,,12:12:00,13:07:00,12:14:00,12:22:00,37
08-11-25,Shift B,Uganda Airlines,UR722,CRJ900,EBB-HRE via LUN,14,11:45:00,12:30:00,12:02:00,12:41:00,12:05:00,12:28:00,,,12:04:00,12:30:00,12:06:00,12:19:00,47
08-11-25,Shift B,RwandAir,WB112,B737,KGL-HRE via LUN,8,15:00:00,15:50:00,15:12:00,16:03:00,15:18:00,15:54:00,,,15:17:00,15:56:00,15:19:00,15:28:00,65
08-11-25,Shift B,Ethiopian Airways,ET873,B787,ADD-ADD via LUN,9,13:10:00,15:10:00,13:28:00,15:17:00,13:34:00,15:03:00,13:35:00,15:02:00,13:33:00,15:05:00,13:35:00,13:44:00,171
08-11-25,Shift B,Airlink,4Z166,E135,JNB-JNB via LUN,10,9:40:00,10:15:00,9:42:00,10:25:00,9:46:00,10:17:00,,,9:45:00,10:19:00,9:47:00,9:56:00,135
08-11-25,Shift B,Airlink,4Z162,E195,JNB-JNB via LUN,12,13:30:00,14:15:00,13:30:00,14:34:00,13:36:00,14:22:00,,,13:35:00,14:24:00,13:37:00,13:40:00,146
08-11-25,Shift B,Qatar Airways,QR1455,B787,DOH-HRE via LUN,13,7:50:00,9:40:00,7:55:00,9:41:00,8:01:00,9:31:00,8:02:00,9:30:00,8:00:00,9:33:00,8:02:00,8:10:00,86
08-11-25,Shift B,Qatar Airways,QR1456,B787,HRE-DOH via LUN,14,15:00:00,16:30:00,15:06:00,16:37:00,15:11:00,16:22:00,15:12:00,16:21:00,15:10:00,16:24:00,15:12:00,15:16:00,152
08-11-25,Shift B,Turkish Airlines,TK525,B737 Max,IST-IST via LUN,8,1:20:00,2:20:00,1:17:00,2:15:00,1:21:00,2:02:00,,,1:20:00,2:04:00,1:22:00,1:34:00,162
08-11-25,Shift B,Kenya Airways,KQ704,E195,NBO-HRE via LUN,9,17:20:00,18:10:00,17:35:00,18:31:00,17:41:00,18:24:00,,,17:40:00,18:26:00,17:42:00,17:46:00,95
08-11-25,Shift B,Kenya Airways,KQ706,E195,NBO-HRE via LUN,10,9:10:00,10:00:00,9:20:00,10:05:00,9:25:00,9:48:00,,,9:24:00,9:50:00,9:26:00,9:39:00,114
09-11-25,Shift A,Air Botswana,BP312,E175,GBE-HRE via LUN,1,8:50:00,9:40:00,9:05:00,9:05:00,9:10:00,9:52:00,,,9:09:00,9:54:00,9:11:00,9:23:00,104
09-11-25,Shift A,Malawian Airlines,ET34,DH8,LLW-HRE via LUN,2,11:45:00,12:20:00,11:52:00,12:39:00,11:57:00,12:28:00,,,11:56:00,12:30:00,11:58:00,12:06:00,79
09-11-25,Shift A,Malawian Airlines,ET35,DH8,HRE-LLW via LUN,3,13:10:00,13:45:00,13:02:00,13:47:00,13:07:00,13:39:00,,,13:06:00,13:41:00,13:08:00,13:20:00,196
09-11-25,Shift A,South African Airways,SA62,A320,JNB-JNB via LUN,4,12:40:00,13:30:00,12:36:00,13:32:00,12:40:00,13:18:00,,,12:39:00,13:20:00,12:41:00,12:50:00,170
09-11-25,Shift A,Air Tanzania,TC212,A220,DAR-HRE via LUN,5,12:20:00,13:10:00,12:38:00,13:18:00,12:41:00,13:08:00,,,12:40:00,13:10:00,12:42:00,12:52:00,78
09-11-25,Shift A,Uganda Airlines,UR722,CRJ900,EBB-HRE via LUN,6,11:45:00,12:30:00,11:53:00,12:31:00,11:58:00,12:24:00,,,11:57:00,12:26:00,11:59:00,12:11:00,52
09-11-25,Shift A,RwandAir,WB112,B737,KGL-HRE via LUN,7,15:00:00,15:50:00,15:02:00,15:42:00,15:05:00,15:27:00,,,15:04:00,15:29:00,15:06:00,15:16:00,198
09-11-25,Shift A,Ethiopian Airways,ET873,A350,ADD-ADD via LUN,1,13:10:00,15:10:00,13:26:00,15:06:00,13:29:00,14:50:00,13:30:00,14:49:00,13:28:00,14:52:00,13:30:00,13:40:00,140
09-11-25,Shift A,Airlink,4Z166,E135,JNB-JNB via LUN,2,9:40:00,10:15:00,9:55:00,10:33:00,10:00:00,10:24:00,,,9:59:00,10:26:00,10:01:00,10:05:00,84
